temperature,humidity,rainfall,nitrogen,phosphorus,potassium,crop
25,60,100,50,30,40,Rice
22,70,150,40,20,30,Rice
26,65,110,55,32,42,Rice
20,55,80,45,25,35,Wheat
18,50,75,48,28,38,Wheat
19,48,70,42,22,32,Wheat
22,62,95,35,40,45,Maize
24,60,100,40,38,50,Maize
23,65,105,38,42,48,Maize
15,45,40,50,30,40,Potato
16,48,45,52,32,42,Potato
14,42,35,48,28,38,Potato
28,70,120,40,35,45,Tomato
29,72,125,42,37,47,Tomato
27,68,115,38,33,43,Tomato
22,55,50,45,28,35,Onion
20,52,48,42,25,32,Onion
21,54,52,44,27,34,Onion
19,60,90,35,30,40,Cabbage
20,62,95,37,32,42,Cabbage
18,58,85,33,28,38,Cabbage
20,50,60,40,25,35,Millet
21,48,65,42,27,37,Millet
19,52,55,38,23,33,Millet
12,45,30,45,30,40,Barley
13,48,35,47,32,42,Barley
11,42,25,43,28,38,Barley
18,55,50,50,35,40,Lentil
17,52,48,48,33,38,Lentil
19,58,55,52,37,42,Lentil
24,65,105,45,35,42,Rice
23,62,100,48,33,40,Rice
25,68,115,50,38,45,Rice
21,58,85,46,26,36,Wheat
20,56,80,44,24,34,Wheat
22,60,90,50,30,40,Wheat
23,64,102,37,41,47,Maize
25,66,110,41,39,51,Maize
22,61,98,39,43,49,Maize
16,47,42,51,31,41,Potato
15,44,38,49,29,39,Potato
17,50,48,53,33,43,Potato
29,73,128,43,38,48,Tomato
28,71,122,41,36,46,Tomato
30,75,130,44,39,49,Tomato
23,57,52,46,29,36,Onion
21,53,50,43,26,33,Onion
22,56,54,45,28,35,Onion
20,61,92,36,31,41,Cabbage
21,63,97,38,33,43,Cabbage
19,59,87,34,29,39,Cabbage
21,51,62,41,26,36,Millet
22,49,67,43,28,38,Millet
20,53,57,39,24,34,Millet
13,46,32,46,31,41,Barley
14,49,37,48,33,43,Barley
12,43,27,44,29,39,Barley
19,57,52,51,36,41,Lentil
18,54,50,49,34,39,Lentil
20,60,57,53,38,43,Lentil
25,62,103,52,32,41,Rice
24,60,98,46,34,39,Rice
26,70,118,51,36,43,Rice
20,54,78,47,27,37,Wheat
21,59,88,45,25,35,Wheat
22,57,82,49,31,41,Wheat
24,63,100,36,39,46,Maize
23,65,108,40,37,48,Maize
25,62,106,38,41,50,Maize
17,49,45,50,32,40,Potato
14,43,33,46,27,35,Potato
16,46,40,52,34,44,Potato
28,72,125,41,36,45,Tomato
30,74,132,44,39,49,Tomato
27,70,120,39,34,44,Tomato
24,59,51,47,30,37,Onion
20,51,47,41,24,31,Onion
22,55,53,44,28,36,Onion
21,62,94,37,32,42,Cabbage
22,64,98,39,34,44,Cabbage
20,60,89,35,30,40,Cabbage
22,52,63,42,27,37,Millet
23,50,68,44,29,39,Millet
21,54,58,40,25,35,Millet
14,47,33,47,32,42,Barley
15,50,38,49,34,44,Barley
13,44,28,45,30,40,Barley
20,58,53,52,37,42,Lentil
19,55,51,50,35,40,Lentil
21,61,58,54,39,44,Lentil
